"Parcel" "box1" "box2" "Subparcel"
"2051" 205 94 101 "205_2"
"2052" 205 101 100 "205_3"
"2053" 205 100 95 "205_4"
"206" 206 94 93 "206_1"
"2061" 206 93 102 "206_2"
"2062" 206 102 101 "206_3"
"2063" 206 101 94 "206_4"
"207" 207 93 92 "207_1"
"2071" 207 92 103 "207_2"
"2072" 207 103 102 "207_3"
"2073" 207 102 93 "207_4"
"208" 208 92 91 "208_1"
"2081" 208 91 104 "208_2"
"2082" 208 104 103 "208_3"
"2083" 208 103 92 "208_4"
"209" 209 91 90 "209_1"
"2091" 209 90 105 "209_2"
"2092" 209 105 104 "209_3"
"2093" 209 104 91 "209_4"
"210" 210 90 89 "210_1"
"2101" 210 89 106 "210_2"
"2102" 210 106 105 "210_3"
"2103" 210 105 90 "210_4"
"2114" 211 89 88 "211_1"
"2111" 211 88 107 "211_2"
"2112" 211 107 106 "211_3"
"2113" 211 106 89 "211_4"
"2124" 212 88 87 "212_1"
"2121" 212 87 108 "212_2"
"2122" 212 108 107 "212_3"
"2123" 212 107 88 "212_4"
"213" 213 87 86 "213_1"
"2131" 213 86 109 "213_2"
"2132" 213 109 108 "213_3"
"2133" 213 108 87 "213_4"
"214" 214 86 85 "214_1"
"2141" 214 85 110 "214_2"
"2142" 214 110 109 "214_3"
"2143" 214 109 86 "214_4"
"215" 215 85 84 "215_1"
"2151" 215 84 111 "215_2"
"2152" 215 111 110 "215_3"
"2153" 215 110 85 "215_4"
"216" 216 84 83 "216_1"
"2161" 216 83 111 "216_2"
"2162" 216 111 84 "216_3"
"217" 217 83 111 "217_1"
"218" 218 82 83 "218_1"
"219" 219 81 82 "219_1"
"2191" 219 82 83 "219_2"
"2192" 219 83 84 "219_3"
"2193" 219 84 81 "219_4"
"220" 220 80 81 "220_1"
"2201" 220 81 84 "220_2"
"2202" 220 84 85 "220_3"
"2203" 220 85 80 "220_4"
"2214" 221 79 80 "221_1"
"2211" 221 80 85 "221_2"
"2212" 221 85 86 "221_3"
"2213" 221 86 79 "221_4"
"2223" 222 78 79 "222_1"
"2221" 222 79 86 "222_2"
"2222" 222 86 78 "222_3"
"2234" 223 77 78 "223_1"
"2231" 223 78 86 "223_2"
"2232" 223 86 87 "223_3"
"2233" 223 87 77 "223_4"
"224" 224 76 77 "224_1"
"2241" 224 77 87 "224_2"
"2242" 224 87 88 "224_3"
"2243" 224 88 76 "224_4"
"225" 225 75 76 "225_1"
"2251" 225 76 88 "225_2"
"2252" 225 88 89 "225_3"
"2253" 225 89 75 "225_4"
"226" 226 74 75 "226_1"
"2261" 226 75 89 "226_2"
"2262" 226 89 90 "226_3"
"2263" 226 90 74 "226_4"
"227" 227 73 74 "227_1"
"2271" 227 74 90 "227_2"
"2272" 227 90 91 "227_3"
"2273" 227 91 73 "227_4"
"228" 228 72 73 "228_1"
"2281" 228 73 91 "228_2"
"2282" 228 91 92 "228_3"
"2283" 228 92 72 "228_4"
"229" 229 71 72 "229_1"
"2291" 229 72 92 "229_2"
"2292" 229 92 93 "229_3"
"2293" 229 93 71 "229_4"
"230" 230 70 71 "230_1"
"2301" 230 71 93 "230_2"
"2302" 230 93 94 "230_3"
"2303" 230 94 70 "230_4"
"231" 231 69 70 "231_1"
"2311" 231 70 94 "231_2"
"2312" 231 94 95 "231_3"
"2313" 231 95 69 "231_4"
"232" 232 68 69 "232_1"
"2321" 232 69 95 "232_2"
"2322" 232 95 96 "232_3"
"2323" 232 96 68 "232_4"
"233" 233 67 68 "233_1"
"2331" 233 68 96 "233_2"
"2332" 233 96 97 "233_3"
"2333" 233 97 67 "233_4"
"234" 234 67 97 "234_1"
"235" 235 66 67 "235_1"
"236" 236 66 65 "236_1"
"2361" 236 65 68 "236_2"
"2362" 236 68 67 "236_3"
"2363" 236 67 66 "236_4"
"237" 237 65 64 "237_1"
"2371" 237 64 69 "237_2"
"2372" 237 69 68 "237_3"
"2373" 237 68 65 "237_4"
"238" 238 64 70 "238_1"
"2381" 238 70 69 "238_2"
"2382" 238 69 64 "238_3"
"239" 239 64 63 "239_1"
"2391" 239 63 71 "239_2"
"2392" 239 71 70 "239_3"
"2393" 239 70 64 "239_4"
"240" 240 63 62 "240_1"
"2401" 240 62 72 "240_2"
"2402" 240 72 71 "240_3"
"2403" 240 71 63 "240_4"
"241" 241 62 61 "241_1"
"2411" 241 61 73 "241_2"
"2412" 241 73 72 "241_3"
"2413" 241 72 62 "241_4"
"242" 242 61 60 "242_1"
"2421" 242 60 74 "242_2"
"2422" 242 74 73 "242_3"
"2423" 242 73 61 "242_4"
"243" 243 60 59 "243_1"
"2431" 243 59 75 "243_2"
"2432" 243 75 74 "243_3"
"2433" 243 74 60 "243_4"
"244" 244 59 58 "244_1"
"2441" 244 58 76 "244_2"
"2442" 244 76 75 "244_3"
"2443" 244 75 59 "244_4"
"245" 245 58 57 "245_1"
"2451" 245 57 77 "245_2"
"2452" 245 77 76 "245_3"
"2453" 245 76 58 "245_4"
"246" 246 57 56 "246_1"
"2461" 246 56 78 "246_2"
"2462" 246 78 77 "246_3"
"2463" 246 77 57 "246_4"
"247" 247 56 55 "247_1"
"2471" 247 55 79 "247_2"
"2472" 247 79 78 "247_3"
"2473" 247 78 56 "247_4"
"248" 248 55 54 "248_1"
"2481" 248 54 80 "248_2"
"2482" 248 80 79 "248_3"
"2483" 248 79 55 "248_4"
"249" 249 54 53 "249_1"
"2491" 249 53 81 "249_2"
"2492" 249 81 80 "249_3"
"2493" 249 80 54 "249_4"
"250" 250 53 52 "250_1"
"2501" 250 52 82 "250_2"
"2502" 250 82 81 "250_3"
"2503" 250 81 53 "250_4"
"251" 251 52 82 "251_1"
