"","ID","transponder"
"580","B2V8829","B8C6C4B43A6F0001"
"581","B2X7057","422D24B43A6F0001"
"582","B2X4998","A36CE7D001AF0001"
"583","B2X7408","1AECE7D001AF0001"
"584","B2X7411","453DC4B43A6F0001"
"585","B2V8836","513AC4B43A6F0001"
"586","B2V8842","7B6CE7D001AF0001"
"587","B2X7632","996CE7D001AF0001"
"588","B2X7563","C76CE7D001AF0001"
"589","B2V8838","C26AC4B43A6F0001"
"590","B2X7373","926524B43A6F0001"
"591","B2X7614","8B6924B43A6F0001"
"592","B2V8626","D403C4B43A6F0001"
"593","B2V8662","230DC4B43A6F0001"
"594","B2X4978","052924B43A6F0001"
"595","B2X7304","7446C4B43A6F0001"
"596","B2X4962","817524B43A6F0001"
"597","B2X4964","057124B43A6F0001"
"598","B2V8771","B26AC4B43A6F0001"
"599","B2X7280","31B224B43A6F0001"
"600","B2X4961","720924B43A6F0001"
"601","B2X7338","FFF9C4B43A6F0001"
"602","B2X4960","285924B43A6F0001"
"603","B2X7449","256CE7D001AF0001"
"604","B2V8843","36CEC4B43A6F0001"
"605","B2X4970","0F2924B43A6F0001"
"606","B2X4971","689924B43A6F0001"
"607","B2X3040","6BDAC4B43A6F0001"
"608","B2X7455","F41EBDD001AF0001"
"609","B2V8837","A9E924B43A6F0001"
"610","B2X4979","D29924B43A6F0001"
"611","B2X7626","D976C4B43A6F0001"
"612","B2X7378","8D4924B43A6F0001"
"613","B2V8653","29C524B43A6F0001"
"614","B2X4956","AC46C4B43A6F0001"
"615","B2X7322","18B924B43A6F0001"
"616","B2X4966","45D524B43A6F0001"
"617","B2X7262","086D24B43A6F0001"
"618","B2V8780","F216C4B43A6F0001"
"619","B2X7174","33B924B43A6F0001"
"620","B2X7410","737524B43A6F0001"
"621","B2V8679","EB16C4B43A6F0001"
"622","B2X4901","AECD24B43A6F0001"
"623","B2X4980","1BE6C4B43A6F0001"
"624","B2V8844","3A76C4B43A6F0001"
"625","B2V8845","5D6CE7D001AF0001"
"626","B2X4963","BEED24B43A6F0001"
"627","B2X4965","D3B6C4B43A6F0001"
"628","B2V8623","512DC4B43A6F0001"
"629","B2X4959","0F65C4B43A6F0001"
"630","B2X7454","0C1EBDD001AF0001"
"631","B2X7199","F2ECE7D001AF0001"
"632","B2X7311","148524B43A6F0001"
"633","B2X7221","38F2C4B43A6F0001"
"634","B2V8828","C5A5C4B43A6F0001"
"635","B2V8667","348524B43A6F0001"
"636","B2X4992","CF6CE7D001AF0001"
"637","B2X4993","AB6CE7D001AF0001"
"638","B2X4928","CE3124B43A6F0001"
