"year_","box1","box2","no"
2021,64,35,2
2021,64,36,2
2021,64,41,2
2021,64,61,2
2021,64,71,2
2021,64,98,2
2021,64,100,2
2021,64,125,2
2021,68,1,2
2021,68,4,2
2021,68,31,2
2021,68,32,2
2021,68,63,2
2021,68,70,2
2021,68,98,2
2021,68,100,2
2021,68,125,2
2021,70,30,2
2021,70,31,2
2021,70,38,2
2021,70,41,2
2021,70,61,2
2021,70,68,2
2021,70,73,2
2021,70,98,2
2021,70,101,2
2021,70,102,2
2021,70,123,2
2021,70,125,2
2021,71,28,2
2021,71,30,2
2021,71,31,2
2021,71,38,2
2021,71,43,2
2021,71,64,2
2021,71,74,2
2021,71,75,2
2021,71,96,2
2021,71,103,2
2021,71,123,2
2021,71,125,2
2021,71,129,2
2021,73,28,2
2021,73,30,2
2021,73,44,2
2021,73,63,2
2021,73,70,2
2021,73,76,2
2021,73,100,2
2021,73,101,2
2021,73,106,2
2021,73,120,2
2021,73,129,2
2021,74,10,2
2021,75,10,2
2021,74,11,2
2021,75,11,2
2021,74,12,2
2021,75,12,2
2021,74,28,2
2021,75,28,2
2021,74,41,2
2021,75,41,2
2021,74,61,2
2021,75,61,2
2021,74,46,2
2021,75,46,2
2021,74,71,2
2021,75,71,2
2021,74,77,2
2021,75,77,2
2021,74,102,2
2021,75,102,2
2021,74,116,2
2021,75,116,2
2021,74,129,2
2021,75,129,2
2021,74,130,2
2021,75,130,2
2021,74,133,2
2021,75,133,2
2021,74,134,2
2021,75,134,2
2021,74,145,2
2021,75,145,2
2021,74,147,2
2021,75,147,2
2021,76,10,2
2021,76,11,2
2021,76,12,2
2021,76,24,2
2021,76,28,2
2021,76,43,2
2021,76,48,2
2021,76,55,2
2021,76,73,2
2021,76,78,2
2021,76,103,2
2021,76,108,2
2021,76,116,2
2021,76,120,2
2021,76,133,2
2021,76,134,2
2021,77,11,2
2021,77,12,2
2021,77,24,2
2021,77,44,2
2021,77,48,2
2021,77,55,2
2021,77,74,2
2021,77,75,2
2021,77,85,2
2021,77,113,2
2021,77,120,2
2021,77,133,2
2021,77,134,2
2021,77,136,2
2021,78,11,2
2021,78,12,2
2021,78,24,2
2021,78,44,2
2021,78,48,2
2021,78,76,2
2021,78,80,2
2021,78,106,2
2021,78,111,2
2021,78,113,2
2021,78,116,2
2021,78,136,2
2021,80,14,2
2021,80,17,2
2021,80,24,2
2021,80,46,2
2021,80,52,2
2021,80,78,2
2021,80,108,2
2021,80,113,2
2021,81,14,2
2021,81,17,2
2021,81,18,2
2021,81,48,2
2021,81,55,2
2021,81,85,2
2021,81,113,2
2021,85,21,2
2021,85,49,2
2021,85,46,2
2021,85,48,2
2021,85,77,2
2021,85,81,2
2021,85,116,2
2021,85,136,2
2021,85,138,2
2021,96,34,2
2021,96,35,2
2021,96,36,2
2021,96,38,2
2021,96,63,2
2021,96,71,2
2021,96,101,2
2021,96,123,2
2021,96,126,2
2021,96,152,2
2021,96,153,2
2021,98,64,2
2021,98,68,2
2021,98,70,2
2021,98,100,2
2021,98,123,2
2021,98,126,2
2021,98,152,2
2021,98,153,2
2021,100,41,2
2021,100,61,2
2021,100,63,2
2021,100,64,2
2021,100,68,2
2021,100,73,2
2021,100,98,2
2021,100,102,2
2021,100,129,2
2021,100,150,2
2021,100,126,2
2021,100,152,2
2021,100,153,2
2021,101,41,2
2021,101,61,2
2021,101,63,2
2021,101,70,2
2021,101,73,2
2021,101,96,2
2021,101,103,2
2021,101,120,2
2021,101,125,2
2021,101,130,2
2021,101,150,2
2021,101,126,2
2021,101,152,2
2021,101,153,2
2021,101,156,2
2021,102,41,2
2021,102,61,2
2021,102,43,2
2021,102,63,2
2021,102,70,2
2021,102,74,2
2021,102,75,2
2021,102,100,2
2021,102,120,2
2021,102,123,2
2021,102,130,2
2021,102,150,2
2021,102,156,2
2021,103,41,2
2021,103,61,2
2021,103,43,2
2021,103,44,2
2021,103,71,2
2021,103,76,2
2021,103,101,2
2021,103,106,2
2021,103,123,2
2021,103,130,2
2021,103,133,2
2021,103,145,2
2021,103,147,2
2021,103,150,2
2021,103,156,2
2021,106,43,2
2021,106,44,2
2021,106,46,2
2021,106,73,2
2021,106,78,2
2021,106,103,2
2021,106,108,2
2021,106,129,2
2021,106,130,2
2021,106,136,2
2021,106,142,2
2021,106,145,2
2021,106,147,2
2021,106,160,2
2021,106,161,2
2021,106,162,2
2021,108,46,2
2021,108,55,2
2021,108,76,2
2021,108,80,2
2021,108,106,2
2021,108,111,2
2021,108,134,2
2021,108,138,2
2021,108,142,2
2021,108,140,2
2021,108,163,2
2021,111,21,2
2021,111,49,2
2021,111,48,2
2021,111,52,2
2021,111,55,2
2021,111,78,2
2021,111,108,2
2021,111,136,2
2021,111,138,2
2021,113,55,2
2021,113,77,2
2021,113,78,2
2021,113,80,2
2021,113,81,2
2021,113,116,2
2021,113,134,2
2021,113,142,2
2021,113,140,2
2021,113,163,2
2021,113,165,2
2021,116,46,2
2021,116,74,2
2021,116,75,2
2021,116,76,2
2021,116,78,2
2021,116,85,2
2021,116,113,2
2021,116,120,2
2021,116,133,2
2021,116,138,2
2021,116,142,2
2021,116,161,2
2021,116,162,2
2021,116,140,2
2021,116,163,2
2021,120,43,2
2021,120,44,2
2021,120,73,2
2021,120,76,2
2021,120,77,2
2021,120,101,2
2021,120,102,2
2021,120,116,2
2021,120,123,2
2021,120,134,2
2021,120,150,2
2021,120,156,2
2021,120,157,2
2021,120,158,2
2021,120,160,2
2021,120,161,2
2021,123,70,2
2021,123,71,2
2021,123,96,2
2021,123,98,2
2021,123,102,2
2021,123,103,2
2021,123,120,2
2021,123,130,2
2021,123,155,2
2021,123,156,2
2021,123,177,2
2021,125,64,2
2021,125,68,2
2021,125,70,2
2021,125,71,2
2021,125,101,2
2021,125,129,2
2021,125,150,2
2021,125,177,2
2021,129,71,2
2021,129,73,2
2021,129,74,2
2021,129,75,2
2021,129,100,2
2021,129,106,2
2021,129,125,2
2021,129,133,2
2021,129,145,2
2021,129,147,2
2021,129,126,2
2021,129,152,2
2021,129,153,2
2021,129,155,2
2021,129,157,2
2021,129,177,2
2021,129,180,2
2021,130,74,2
2021,130,75,2
2021,130,101,2
2021,130,102,2
2021,130,103,2
2021,130,106,2
2021,130,123,2
2021,130,133,2
2021,130,145,2
2021,130,150,2
2021,130,155,2
2021,130,158,2
2021,130,180,2
2021,130,181,2
2021,130,182,2
2021,133,74,2
2021,133,75,2
2021,133,76,2
2021,133,77,2
2021,133,103,2
2021,133,116,2
2021,133,129,2
2021,133,130,2
2021,133,136,2
2021,133,142,2
2021,133,147,2
2021,133,158,2
2021,133,162,2
2021,133,182,2
2021,133,183,2
2021,133,184,2
2021,133,186,2
2021,134,74,2
2021,134,75,2
2021,134,76,2
2021,134,77,2
2021,134,108,2
2021,134,113,2
2021,134,120,2
2021,134,138,2
2021,134,145,2
2021,134,160,2
2021,134,140,2
2021,134,163,2
2021,134,167,2
2021,134,184,2
2021,134,186,2
2021,136,77,2
2021,136,78,2
2021,136,85,2
2021,136,106,2
2021,136,111,2
2021,136,133,2
2021,136,161,2
2021,136,162,2
2021,136,165,2
2021,136,167,2
2021,138,85,2
2021,138,108,2
2021,138,111,2
2021,138,116,2
2021,138,134,2
2021,138,142,2
2021,138,162,2
2021,138,167,2
2021,138,188,2
2021,138,191,2
2021,142,106,2
2021,142,108,2
2021,142,113,2
2021,142,116,2
2021,142,133,2
2021,142,138,2
2021,142,161,2
2021,142,165,2
2021,142,167,2
2021,142,186,2
2021,145,74,2
2021,145,75,2
2021,145,103,2
2021,145,106,2
2021,145,129,2
2021,145,130,2
2021,145,134,2
2021,145,157,2
2021,145,161,2
2021,145,182,2
2021,145,183,2
2021,145,184,2
2021,147,74,2
2021,147,75,2
2021,147,103,2
2021,147,106,2
2021,147,129,2
2021,147,133,2
2021,147,156,2
2021,147,160,2
2021,147,180,2
2021,147,181,2
2021,147,182,2
2021,150,100,2
2021,150,101,2
2021,150,102,2
2021,150,103,2
2021,150,120,2
2021,150,125,2
2021,150,130,2
2021,150,157,2
2021,150,178,2
2021,150,180,2
2021,126,96,2
2021,152,96,2
2021,153,96,2
2021,126,98,2
2021,152,98,2
2021,153,98,2
2021,126,100,2
2021,152,100,2
2021,153,100,2
2021,126,101,2
2021,152,101,2
2021,153,101,2
2021,126,129,2
2021,152,129,2
2021,153,129,2
2021,126,155,2
2021,152,155,2
2021,153,155,2
2021,126,156,2
2021,152,156,2
2021,153,156,2
2021,126,178,2
2021,152,178,2
2021,153,178,2
2021,155,123,2
2021,155,129,2
2021,155,130,2
2021,155,126,2
2021,155,152,2
2021,155,153,2
2021,155,157,2
2021,155,181,2
2021,155,199,2
2021,155,200,2
2021,155,201,2
